		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
C - 3 (1)	Summary	96.180	2980	0.885	22.502
C - 4 (1)	Summary	96.965	2744	0.883	20.811
C - 5 (1)	Summary	102.564	2853	0.876	20.210
C - 6 (1)	Summary	106.042	2505	0.879	19.333
C - 7 (1)	Summary	103.386	2917	0.867	19.483
C - 8 (1)	Summary	109.513	2382	0.876	18.998
C - 9 (1)	Summary	103.095	3218	0.869	18.931
C - 10 (1)	Summary	100.130	2610	0.874	20.071
C - 11 (1)	Summary	89.057	1023	0.883	21.829
C - 12 (1)	Summary	93.154	2251	0.896	22.989
C - 13 (1)	Summary	98.159	2761	0.873	20.714
C - 14 (1)	Summary	102.761	2790	0.878	19.365
C - 15 (1)	Summary	106.236	2902	0.869	18.301
C - 16 (1)	Summary	107.051	2639	0.873	18.524
C - 17 (1)	Summary	110.917	2551	0.881	19.528
C - 18 (1)	Summary	108.430	2492	0.867	18.837
C - 19 (1)	Summary	105.181	2687	0.876	20.244
C - 20 (1)	Summary	103.062	2248	0.882	20.622
C - 21 (1)	Summary	98.622	2969	0.866	19.102
C - 22 (1)	Summary	99.837	2813	0.878	20.612
D - 3 (1)	Summary	108.944	2930	0.878	21.202
D - 4 (1)	Summary	101.512	2880	0.876	20.171
D - 5 (1)	Summary	98.263	2732	0.869	19.568
D - 6 (1)	Summary	101.169	2589	0.874	18.910
D - 7 (1)	Summary	104.808	2757	0.854	16.575
D - 8 (1)	Summary	109.757	2610	0.882	20.070
D - 9 (1)	Summary	103.683	2648	0.876	19.028
D - 10 (1)	Summary	99.068	2596	0.888	19.964
D - 11 (1)	Summary	94.943	2595	0.892	21.174
D - 12 (1)	Summary	96.932	2568	0.889	21.855
D - 13 (1)	Summary	99.307	2250	0.878	20.603
D - 14 (1)	Summary	101.800	2584	0.871	19.433
D - 15 (1)	Summary	95.057	2622	0.869	18.704
D - 16 (1)	Summary	106.225	2548	0.882	18.333
D - 17 (1)	Summary	110.157	2615	0.878	19.198
D - 18 (1)	Summary	100.346	2528	0.892	19.865
D - 19 (1)	Summary	101.941	2441	0.883	21.592
D - 20 (1)	Summary	100.053	2313	0.882	21.424
D - 21 (1)	Summary	108.585	2820	0.872	17.753
D - 22 (1)	Summary	103.363	2798	0.879	19.403
E - 3 (1)	Summary	112.727	2830	0.883	21.086
E - 4 (1)	Summary	88.065	2601	0.881	20.314
E - 5 (1)	Summary	110.850	2928	0.870	19.264
E - 6 (1)	Summary	108.513	2726	0.883	19.626
E - 7 (1)	Summary	106.465	2743	0.879	20.178
E - 8 (1)	Summary	121.284	2450	0.887	19.221
E - 9 (1)	Summary	105.056	2586	0.874	19.234
E - 10 (1)	Summary	116.026	2453	0.872	17.141
E - 11 (1)	Summary	112.969	2882	0.879	19.859
E - 12 (1)	Summary	109.365	2577	0.885	20.995
E - 13 (1)	Summary	106.155	2878	0.864	18.835
