		noyaux	noyaux	noyaux	noyaux
E - 14 (1)	Summary	110.407	2525	0.880	19.408
E - 15 (1)	Summary	115.839	2653	0.881	20.176
E - 16 (1)	Summary	119.115	2620	0.858	18.146
E - 17 (1)	Summary	107.116	2743	0.886	19.675
E - 18 (1)	Summary	111.374	2564	0.873	18.515
E - 19 (1)	Summary	88.174	2077	0.913	25.374
E - 20 (1)	Summary	103.356	2521	0.863	21.460
E - 21 (1)	Summary	102.394	2932	0.870	18.826
E - 22 (1)	Summary	106.485	2576	0.870	19.450
F - 3 (1)	Summary	110.189	2779	0.875	20.560
F - 4 (1)	Summary	105.482	2844	0.881	20.894
F - 5 (1)	Summary	106.200	2772	0.877	19.298
F - 6 (1)	Summary	108.346	2759	0.878	19.505
F - 7 (1)	Summary	112.580	2992	0.865	19.452
F - 8 (1)	Summary	107.244	2453	0.879	19.652
F - 9 (1)	Summary	107.166	2824	0.869	18.493
F - 10 (1)	Summary	105.206	2730	0.876	19.080
F - 11 (1)	Summary	111.501	2942	0.875	19.120
F - 12 (1)	Summary	91.836	2878	0.873	19.552
F - 13 (1)	Summary	104.615	2802	0.873	18.337
F - 14 (1)	Summary	102.074	2943	0.864	18.605
F - 15 (1)	Summary	106.911	2967	0.849	19.727
F - 16 (1)	Summary	109.608	2671	0.878	19.540
F - 17 (1)	Summary	100.054	2754	0.873	17.802
F - 18 (1)	Summary	109.575	2668	0.865	16.904
F - 19 (1)	Summary	104.411	2728	0.877	19.192
F - 20 (1)	Summary	102.513	2630	0.876	19.385
F - 21 (1)	Summary	105.577	2759	0.868	18.215
F - 22 (1)	Summary	106.909	2699	0.871	18.348
G - 3 (1)	Summary	108.850	2900	0.875	20.054
G - 4 (1)	Summary	109.458	2511	0.886	20.413
G - 5 (1)	Summary	106.205	2705	0.887	20.306
G - 6 (1)	Summary	105.473	2580	0.885	20.003
G - 7 (1)	Summary	102.041	2910	0.889	20.918
G - 8 (1)	Summary	118.518	2311	0.887	18.461
G - 9 (1)	Summary	99.783	2735	0.864	18.209
G - 10 (1)	Summary	110.857	2652	0.873	17.409
G - 11 (1)	Summary	106.326	2661	0.875	18.826
G - 12 (1)	Summary	104.552	2628	0.871	17.773
G - 13 (1)	Summary	103.124	2683	0.879	20.296
G - 14 (1)	Summary	109.563	2806	0.859	18.527
G - 15 (1)	Summary	106.287	2783	0.870	17.590
G - 16 (1)	Summary	109.641	2550	0.877	18.528
G - 17 (1)	Summary	104.072	2813	0.877	19.081
G - 18 (1)	Summary	106.165	2475	0.879	18.101
G - 19 (1)	Summary	104.716	2696	0.866	16.868
G - 20 (1)	Summary	109.520	2258	0.880	18.098
G - 21 (1)	Summary	101.075	2932	0.889	20.120
G - 22 (1)	Summary	103.559	2618	0.884	19.933
H - 3 (1)	Summary	107.059	2636	0.882	20.539
H - 4 (1)	Summary	109.671	2568	0.886	20.232
H - 5 (1)	Summary	117.572	2648	0.887	20.349
H - 6 (1)	Summary	104.050	1770	0.896	19.081
H - 7 (1)	Summary	107.493	2504	0.876	18.794
H - 8 (1)	Summary	116.396	2572	0.886	19.419
H - 9 (1)	Summary	106.641	2749	0.865	19.303
H - 10 (1)	Summary	111.517	2722	0.875	19.937
H - 11 (1)	Summary	107.538	2610	0.882	17.561
H - 12 (1)	Summary	108.523	2525	0.885	20.071
H - 13 (1)	Summary	111.912	2601	0.879	19.928
H - 14 (1)	Summary	102.785	2837	0.881	21.361
H - 15 (1)	Summary	106.260	2763	0.882	18.199
H - 16 (1)	Summary	116.202	2649	0.886	20.719
H - 17 (1)	Summary	107.015	2702	0.883	19.867
H - 18 (1)	Summary	106.547	2800	0.880	19.743
H - 19 (1)	Summary	108.571	2575	0.878	16.796
H - 20 (1)	Summary	110.903	2644	0.880	18.904
H - 21 (1)	Summary	109.097	2628	0.884	19.932
H - 22 (1)	Summary	102.347	2712	0.884	20.408
I - 3 (1)	Summary	106.059	2659	0.879	20.534
I - 4 (1)	Summary	103.471	2482	0.883	20.662
I - 5 (1)	Summary	101.737	2784	0.884	21.731
I - 6 (1)	Summary	96.553	2828	0.894	21.840
I - 7 (1)	Summary	97.808	2745	0.889	19.772
I - 8 (1)	Summary	92.936	2279	0.892	21.017
I - 9 (1)	Summary	89.704	2711	0.882	21.633
I - 10 (1)	Summary	102.223	2467	0.887	20.761
I - 11 (1)	Summary	96.780	2754	0.901	20.865
I - 12 (1)	Summary	103.070	2427	0.874	20.078
I - 13 (1)	Summary	98.913	2764	0.868	20.012
I - 14 (1)	Summary	100.708	2470	0.874	20.538
I - 15 (1)	Summary	112.268	2202	0.893	15.818
I - 16 (1)	Summary	98.625	2552	0.878	19.571
I - 17 (1)	Summary	90.316	2604	0.885	20.853
I - 18 (1)	Summary	95.472	2507	0.881	20.445
I - 19 (1)	Summary	98.272	2536	0.876	17.797
I - 20 (1)	Summary	104.477	2452	0.881	18.737
I - 21 (1)	Summary	102.444	2597	0.894	20.423
I - 22 (1)	Summary	98.208	2673	0.864	20.187
J - 3 (1)	Summary	98.321	2661	0.874	21.136
J - 4 (1)	Summary	98.762	2509	0.882	20.462
J - 5 (1)	Summary	100.465	2539	0.882	21.083
J - 6 (1)	Summary	102.409	1935	0.893	18.757
J - 7 (1)	Summary	95.651	2603	0.890	18.868
J - 8 (1)	Summary	93.751	2610	0.900	21.463
J - 9 (1)	Summary	86.373	2678	0.877	20.897
J - 10 (1)	Summary	92.890	2658	0.872	19.448
J - 11 (1)	Summary	98.982	2562	0.884	18.793
J - 12 (1)	Summary	96.236	2790	0.879	18.947
J - 13 (1)	Summary	100.370	2980	0.866	19.576
J - 14 (1)	Summary	97.896	2807	0.873	18.618
J - 15 (1)	Summary	93.507	2694	0.886	20.486
J - 16 (1)	Summary	92.816	2805	0.868	18.466
J - 17 (1)	Summary	90.510	2730	0.878	20.575
J - 18 (1)	Summary	91.064	2841	0.874	20.084
J - 19 (1)	Summary	100.587	2598	0.880	18.023
J - 20 (1)	Summary	103.614	2446	0.878	18.288
J - 21 (1)	Summary	105.202	2791	0.878	18.454
J - 22 (1)	Summary	102.430	2740	0.882	20.197
K - 3 (1)	Summary	101.289	2931	0.878	21.857
K - 4 (1)	Summary	107.389	2812	0.845	19.623
K - 5 (1)	Summary	97.736	2720	0.874	19.677
K - 6 (1)	Summary	97.825	2635	0.876	20.224
K - 7 (1)	Summary	95.392	2721	0.892	21.549
K - 8 (1)	Summary	99.101	2563	0.885	20.425
K - 9 (1)	Summary	93.320	2925	0.874	18.287
K - 10 (1)	Summary	108.589	2404	0.901	16.516
K - 11 (1)	Summary	99.947	2809	0.881	21.856
K - 12 (1)	Summary	102.154	2484	0.894	19.378
K - 13 (1)	Summary	94.866	2728	0.876	18.618
K - 14 (1)	Summary	102.880	2644	0.879	19.605
K - 15 (1)	Summary	112.110	2722	0.874	18.570
K - 16 (1)	Summary	104.271	2632	0.886	19.841
K - 17 (1)	Summary	98.341	2779	0.882	19.276
K - 18 (1)	Summary	100.286	2648	0.877	19.719
K - 19 (1)	Summary	113.164	2252	0.899	16.930
K - 20 (1)	Summary	100.516	2345	0.874	19.728
K - 21 (1)	Summary	103.096	2605	0.871	17.384
K - 22 (1)	Summary	104.303	2718	0.872	18.392
L - 3 (1)	Summary	103.237	2846	0.879	21.118
L - 4 (1)	Summary	97.002	2979	0.874	20.755
L - 5 (1)	Summary	94.518	2854	0.876	19.608
L - 6 (1)	Summary	107.917	2614	0.868	19.160
L - 7 (1)	Summary	100.414	2714	0.876	20.481
L - 8 (1)	Summary	108.581	2612	0.885	20.682
L - 9 (1)	Summary	100.077	2902	0.875	19.042
L - 10 (1)	Summary	99.598	2796	0.881	20.358
L - 11 (1)	Summary	108.571	2403	0.883	20.631
L - 12 (1)	Summary	97.389	2870	0.879	21.287
L - 13 (1)	Summary	102.369	2760	0.877	19.723
L - 14 (1)	Summary	108.866	2562	0.875	18.587
L - 15 (1)	Summary	108.161	2574	0.887	20.316
L - 16 (1)	Summary	105.446	2550	0.888	20.928
L - 17 (1)	Summary	102.317	2901	0.886	20.137
L - 18 (1)	Summary	116.705	2777	0.813	21.300
L - 19 (1)	Summary	97.509	2682	0.884	21.123
L - 20 (1)	Summary	98.242	2420	0.853	20.722
L - 21 (1)	Summary	102.805	2568	0.874	18.695
L - 22 (1)	Summary	99.884	2725	0.870	19.631
M - 3 (1)	Summary	101.231	2831	0.875	21.604
M - 4 (1)	Summary	98.655	2595	0.890	21.131
M - 5 (1)	Summary	96.501	2125	0.902	18.849
M - 6 (1)	Summary	100.316	2697	0.877	19.342
M - 7 (1)	Summary	100.688	2646	0.876	19.935
M - 8 (1)	Summary	105.148	2432	0.880	19.466
M - 9 (1)	Summary	101.613	2455	0.877	18.935
M - 10 (1)	Summary	91.223	2663	0.875	19.685
M - 11 (1)	Summary	105.879	2605	0.870	18.949
M - 12 (1)	Summary	98.806	2594	0.859	20.385
M - 13 (1)	Summary	96.975	2497	0.884	20.591
M - 14 (1)	Summary	92.535	2488	0.880	20.824
M - 15 (1)	Summary	97.964	2710	0.875	17.865
M - 16 (1)	Summary	102.724	2571	0.881	20.064
M - 17 (1)	Summary	97.540	1902	0.899	18.894
M - 18 (1)	Summary	95.294	2410	0.895	20.454
M - 19 (1)	Summary	86.219	2548	0.913	23.415
M - 20 (1)	Summary	94.677	2444	0.888	19.645
M - 21 (1)	Summary	95.615	2637	0.880	18.623
M - 22 (1)	Summary	92.984	2600	0.892	21.282
N - 3 (1)	Summary	96.255	2719	0.890	21.933
N - 4 (1)	Summary	99.845	2481	0.885	21.291
N - 5 (1)	Summary	99.195	2743	0.877	19.752
N - 6 (1)	Summary	98.039	2613	0.878	19.437
N - 7 (1)	Summary	101.887	2751	0.878	19.059
N - 8 (1)	Summary	105.517	2657	0.884	19.739
N - 9 (1)	Summary	97.309	2848	0.873	20.273
N - 10 (1)	Summary	85.323	2193	0.920	23.351
N - 11 (1)	Summary	102.487	2788	0.878	18.742
N - 12 (1)	Summary	103.030	2723	0.870	19.194
N - 13 (1)	Summary	100.619	2688	0.883	20.799
N - 14 (1)	Summary	102.062	2850	0.873	20.588
N - 15 (1)	Summary	108.450	2696	0.873	18.743
N - 16 (1)	Summary	105.590	2672	0.882	20.792
N - 17 (1)	Summary	103.018	2629	0.881	19.863
N - 18 (1)	Summary	104.435	2126	0.885	20.712
N - 19 (1)	Summary	112.982	2323	0.903	16.801
N - 20 (1)	Summary	109.738	2925	0.860	19.524
N - 21 (1)	Summary	103.974	2689	0.875	19.509
N - 22 (1)	Summary	102.083	2825	0.880	21.217
