		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
C - 3 (1)	Summary	86.849	2854	0.891	25.861
C - 4 (1)	Summary	95.732	2554	0.883	22.537
C - 5 (1)	Summary	88.998	2929	0.883	24.164
C - 6 (1)	Summary	92.620	2833	0.900	24.814
C - 7 (1)	Summary	88.952	2827	0.902	24.961
C - 8 (1)	Summary	97.936	2535	0.870	21.844
C - 9 (1)	Summary	89.837	2715	0.891	25.160
C - 10 (1)	Summary	86.309	2812	0.894	25.159
C - 11 (1)	Summary	91.700	2604	0.897	24.181
C - 12 (1)	Summary	86.015	2856	0.893	25.163
C - 13 (1)	Summary	88.490	2829	0.900	24.419
C - 14 (1)	Summary	95.422	2427	0.877	23.566
C - 15 (1)	Summary	90.618	2685	0.898	25.101
C - 16 (1)	Summary	92.032	2774	0.890	24.930
C - 17 (1)	Summary	97.178	2373	0.893	26.060
C - 18 (1)	Summary	92.421	2759	0.890	24.107
C - 19 (1)	Summary	94.530	2587	0.899	24.396
C - 20 (1)	Summary	91.742	2539	0.893	24.983
C - 21 (1)	Summary	88.275	2816	0.899	25.683
C - 22 (1)	Summary	89.324	2980	0.893	26.152
D - 3 (1)	Summary	89.740	2613	0.894	24.638
D - 4 (1)	Summary	83.767	2962	0.895	25.405
D - 5 (1)	Summary	92.328	2652	0.885	22.727
D - 6 (1)	Summary	88.288	2753	0.896	23.444
D - 7 (1)	Summary	86.826	2959	0.900	24.401
D - 8 (1)	Summary	91.915	2821	0.900	23.919
D - 9 (1)	Summary	86.181	2859	0.900	24.423
D - 10 (1)	Summary	87.369	2610	0.894	24.406
D - 11 (1)	Summary	93.340	2294	0.902	20.999
D - 12 (1)	Summary	88.177	2589	0.900	23.530
D - 13 (1)	Summary	88.119	2251	0.921	22.589
D - 14 (1)	Summary	90.407	2577	0.895	23.522
D - 15 (1)	Summary	92.852	2635	0.891	22.459
D - 16 (1)	Summary	86.187	2779	0.897	24.886
D - 17 (1)	Summary	94.092	2548	0.896	24.282
D - 18 (1)	Summary	88.276	2665	0.895	24.491
D - 19 (1)	Summary	87.777	2596	0.897	23.928
D - 20 (1)	Summary	89.844	2406	0.904	26.068
D - 21 (1)	Summary	88.091	2802	0.896	24.966
D - 22 (1)	Summary	91.565	2816	0.893	24.963
E - 3 (1)	Summary	90.607	2768	0.895	25.649
E - 4 (1)	Summary	92.613	2677	0.907	24.156
E - 5 (1)	Summary	91.648	2704	0.893	24.078
E - 6 (1)	Summary	91.690	2918	0.880	21.951
E - 7 (1)	Summary	90.665	2725	0.889	23.422
E - 8 (1)	Summary	91.960	2792	0.892	22.601
E - 9 (1)	Summary	91.238	2583	0.897	20.915
E - 10 (1)	Summary	98.022	2757	0.893	21.133
E - 11 (1)	Summary	94.746	2531	0.895	21.734
E - 12 (1)	Summary	86.489	2797	0.896	22.889
E - 13 (1)	Summary	92.446	2610	0.893	21.937
