		noyaux	noyaux	noyaux	noyaux
E - 14 (1)	Summary	91.331	2776	0.897	22.005
E - 15 (1)	Summary	97.828	2640	0.902	22.434
E - 16 (1)	Summary	93.638	2934	0.892	22.732
E - 17 (1)	Summary	95.025	2592	0.899	23.427
E - 18 (1)	Summary	92.124	2800	0.898	24.110
E - 19 (1)	Summary	89.420	2635	0.907	24.735
E - 20 (1)	Summary	86.198	3466	0.881	23.323
E - 21 (1)	Summary	91.080	2806	0.886	24.704
E - 22 (1)	Summary	87.307	3123	0.892	24.773
F - 3 (1)	Summary	93.694	2760	0.888	24.905
F - 4 (1)	Summary	92.070	2861	0.893	24.228
F - 5 (1)	Summary	93.231	2850	0.892	22.586
F - 6 (1)	Summary	93.858	2822	0.888	21.694
F - 7 (1)	Summary	89.391	2663	0.894	22.219
F - 8 (1)	Summary	93.518	2839	0.894	21.781
F - 9 (1)	Summary	99.256	2470	0.881	18.352
F - 10 (1)	Summary	91.956	2913	0.891	20.641
F - 11 (1)	Summary	98.745	2446	0.903	18.679
F - 12 (1)	Summary	87.474	2818	0.892	21.327
F - 13 (1)	Summary	104.646	2639	0.883	24.203
F - 14 (1)	Summary	91.227	2929	0.890	20.494
F - 15 (1)	Summary	90.174	2413	0.891	21.620
F - 16 (1)	Summary	96.245	2902	0.885	20.075
F - 17 (1)	Summary	89.842	2880	0.886	23.220
F - 18 (1)	Summary	90.095	2681	0.886	21.751
F - 19 (1)	Summary	87.674	2701	0.918	24.030
F - 20 (1)	Summary	89.830	2794	0.888	24.318
F - 21 (1)	Summary	91.940	2562	0.881	22.935
F - 22 (1)	Summary	90.180	2684	0.897	24.997
G - 3 (1)	Summary	88.673	2660	0.900	25.056
G - 4 (1)	Summary	98.359	2982	0.888	23.806
G - 5 (1)	Summary	85.791	2651	0.899	25.009
G - 6 (1)	Summary	87.506	2903	0.882	22.521
G - 7 (1)	Summary	97.470	2838	0.891	23.815
G - 8 (1)	Summary	92.662	2774	0.892	23.448
G - 9 (1)	Summary	89.686	2727	0.885	23.701
G - 10 (1)	Summary	87.675	2833	0.895	21.599
G - 11 (1)	Summary	89.567	2791	0.897	24.303
G - 12 (1)	Summary	87.836	2789	0.890	24.184
G - 13 (1)	Summary	89.286	2733	0.897	23.960
G - 14 (1)	Summary	86.938	2917	0.902	24.983
G - 15 (1)	Summary	89.785	2607	0.911	23.776
G - 16 (1)	Summary	89.910	2841	0.894	23.026
G - 17 (1)	Summary	91.487	2557	0.897	22.014
G - 18 (1)	Summary	107.157	2365	0.896	20.266
G - 19 (1)	Summary	90.551	2640	0.895	22.399
G - 20 (1)	Summary	90.975	2764	0.897	23.891
G - 21 (1)	Summary	82.948	2206	0.910	27.491
G - 22 (1)	Summary	93.810	2751	0.899	25.961
H - 3 (1)	Summary	92.057	2795	0.891	24.763
H - 4 (1)	Summary	92.472	2889	0.894	24.912
H - 5 (1)	Summary	96.205	2519	0.894	23.288
H - 6 (1)	Summary	104.081	2238	0.903	20.582
H - 7 (1)	Summary	91.402	2666	0.897	23.225
H - 8 (1)	Summary	101.663	2375	0.911	21.769
H - 9 (1)	Summary	89.434	2707	0.900	24.336
H - 10 (1)	Summary	89.325	2583	0.900	23.834
H - 11 (1)	Summary	93.159	2556	0.894	23.060
H - 12 (1)	Summary	89.994	2789	0.891	23.480
H - 13 (1)	Summary	96.864	2724	0.896	23.706
H - 14 (1)	Summary	91.423	2642	0.895	23.764
H - 15 (1)	Summary	92.274	2575	0.903	21.811
H - 16 (1)	Summary	95.631	2847	0.897	21.597
H - 17 (1)	Summary	89.425	2735	0.894	21.353
H - 18 (1)	Summary	92.925	2342	0.935	24.620
H - 19 (1)	Summary	89.876	2733	0.894	21.796
H - 20 (1)	Summary	92.594	2714	0.899	23.773
H - 21 (1)	Summary	94.512	2761	0.893	26.245
H - 22 (1)	Summary	91.091	2990	0.894	25.383
I - 3 (1)	Summary	92.004	2608	0.895	25.356
I - 4 (1)	Summary	90.547	2741	0.897	25.817
I - 5 (1)	Summary	87.476	2693	0.902	25.968
I - 6 (1)	Summary	87.857	2778	0.890	26.099
I - 7 (1)	Summary	83.764	2675	0.914	25.472
I - 8 (1)	Summary	85.010	2738	0.913	25.235
I - 9 (1)	Summary	81.036	2613	0.903	24.804
I - 10 (1)	Summary	82.167	2790	0.894	23.889
I - 11 (1)	Summary	89.680	2697	0.893	21.510
I - 12 (1)	Summary	85.946	2694	0.897	24.444
I - 13 (1)	Summary	84.011	2585	0.902	24.366
I - 14 (1)	Summary	87.135	2338	0.895	22.733
I - 15 (1)	Summary	85.539	2592	0.907	23.574
I - 16 (1)	Summary	84.535	2690	0.894	22.770
I - 17 (1)	Summary	83.901	1969	0.917	22.658
I - 18 (1)	Summary	78.784	2652	0.903	23.730
I - 19 (1)	Summary	87.044	2674	0.896	24.295
I - 20 (1)	Summary	85.202	2861	0.897	24.312
I - 21 (1)	Summary	88.562	2028	0.914	26.029
I - 22 (1)	Summary	86.640	2860	0.898	25.213
J - 3 (1)	Summary	96.320	2676	0.890	25.195
J - 4 (1)	Summary	85.771	2799	0.892	25.655
J - 5 (1)	Summary	83.734	2658	0.895	24.982
J - 6 (1)	Summary	84.237	2872	0.895	25.197
J - 7 (1)	Summary	81.340	2854	0.905	25.453
J - 8 (1)	Summary	82.542	2894	0.902	25.377
J - 9 (1)	Summary	79.299	2789	0.903	25.023
J - 10 (1)	Summary	88.980	2420	0.894	20.540
J - 11 (1)	Summary	89.207	2734	0.891	24.099
J - 12 (1)	Summary	96.924	2530	0.896	20.513
J - 13 (1)	Summary	89.512	2496	0.900	24.569
J - 14 (1)	Summary	93.755	2438	0.890	19.428
J - 15 (1)	Summary	89.566	2581	0.894	22.738
J - 16 (1)	Summary	88.619	2472	0.899	21.348
J - 17 (1)	Summary	86.218	2471	0.884	23.245
J - 18 (1)	Summary	89.544	2342	0.897	20.642
J - 19 (1)	Summary	85.505	2523	0.894	23.253
J - 20 (1)	Summary	91.540	2602	0.890	21.803
J - 21 (1)	Summary	92.613	2876	0.889	23.961
J - 22 (1)	Summary	88.833	2830	0.895	25.266
K - 3 (1)	Summary	88.126	2645	0.893	25.493
K - 4 (1)	Summary	86.273	3012	0.894	25.805
K - 5 (1)	Summary	90.538	2778	0.897	24.519
K - 6 (1)	Summary	89.208	2690	0.893	25.660
K - 7 (1)	Summary	84.436	2731	0.904	25.949
K - 8 (1)	Summary	87.100	2946	0.904	25.088
K - 9 (1)	Summary	80.679	2657	0.906	24.463
K - 10 (1)	Summary	83.784	2719	0.891	24.477
K - 11 (1)	Summary	104.709	2882	0.852	22.758
K - 12 (1)	Summary	94.529	2912	0.897	25.775
K - 13 (1)	Summary	87.923	2611	0.897	22.911
K - 14 (1)	Summary	86.402	2708	0.894	22.991
K - 15 (1)	Summary	82.765	2477	0.903	23.352
K - 16 (1)	Summary	87.896	2830	0.903	22.063
K - 17 (1)	Summary	84.952	2731	0.895	24.000
K - 18 (1)	Summary	80.682	2887	0.904	23.496
K - 19 (1)	Summary	82.599	2732	0.891	24.245
K - 20 (1)	Summary	85.667	2814	0.895	23.853
K - 21 (1)	Summary	86.656	2569	0.897	24.609
K - 22 (1)	Summary	89.528	3182	0.892	26.367
L - 3 (1)	Summary	90.963	2919	0.876	26.738
L - 4 (1)	Summary	86.543	2950	0.886	25.270
L - 5 (1)	Summary	89.783	2636	0.894	24.118
L - 6 (1)	Summary	86.952	2839	0.885	24.510
L - 7 (1)	Summary	91.617	2810	0.895	24.317
L - 8 (1)	Summary	94.613	2469	0.887	26.572
L - 9 (1)	Summary	81.588	2618	0.903	25.751
L - 10 (1)	Summary	84.778	2835	0.895	23.926
L - 11 (1)	Summary	106.218	3256	0.835	34.702
L - 12 (1)	Summary	86.743	2783	0.898	24.214
L - 13 (1)	Summary	91.289	2626	0.893	23.017
L - 14 (1)	Summary	91.165	2702	0.891	22.571
L - 15 (1)	Summary	88.026	2455	0.901	23.928
L - 16 (1)	Summary	87.533	2596	0.899	23.660
L - 17 (1)	Summary	89.349	2717	0.895	23.978
L - 18 (1)	Summary	87.139	2764	0.897	24.086
L - 19 (1)	Summary	84.531	2708	0.897	24.939
L - 20 (1)	Summary	88.162	2856	0.897	23.482
L - 21 (1)	Summary	86.729	2772	0.894	23.995
L - 22 (1)	Summary	88.058	2748	0.895	26.094
M - 3 (1)	Summary	91.119	2536	0.901	25.615
M - 4 (1)	Summary	85.588	2773	0.890	25.076
M - 5 (1)	Summary	85.881	2606	0.901	25.442
M - 6 (1)	Summary	96.136	2734	0.876	22.900
M - 7 (1)	Summary	97.719	2597	0.865	24.296
M - 8 (1)	Summary	97.515	2832	0.884	23.505
M - 9 (1)	Summary	88.074	2470	0.896	24.858
M - 10 (1)	Summary	85.088	3080	0.890	25.028
M - 11 (1)	Summary	86.337	2614	0.899	24.961
M - 12 (1)	Summary	85.654	2869	0.896	25.810
M - 13 (1)	Summary	86.651	2623	0.900	25.049
M - 14 (1)	Summary	85.395	2660	0.909	25.973
M - 15 (1)	Summary	95.043	2425	0.895	22.432
M - 16 (1)	Summary	87.118	3101	0.892	25.306
M - 17 (1)	Summary	87.437	2724	0.900	25.398
M - 18 (1)	Summary	83.427	2456	0.908	26.092
M - 19 (1)	Summary	84.533	2792	0.894	25.663
M - 20 (1)	Summary	87.052	3025	0.894	24.353
M - 21 (1)	Summary	88.154	2798	0.897	25.553
M - 22 (1)	Summary	91.963	2849	0.891	25.576
N - 3 (1)	Summary	85.916	2728	0.892	25.585
N - 4 (1)	Summary	87.227	2960	0.885	25.094
N - 5 (1)	Summary	87.058	2635	0.892	25.185
N - 6 (1)	Summary	91.136	2762	0.893	24.650
N - 7 (1)	Summary	92.063	2878	0.888	24.085
N - 8 (1)	Summary	92.118	2854	0.893	25.011
N - 9 (1)	Summary	90.112	2700	0.896	25.414
N - 10 (1)	Summary	92.019	573	0.898	25.192
N - 11 (1)	Summary	87.424	2760	0.904	25.915
N - 12 (1)	Summary	92.542	2578	0.893	24.192
N - 13 (1)	Summary	89.056	2761	0.895	25.668
N - 14 (1)	Summary	88.500	2644	0.895	24.825
N - 15 (1)	Summary	90.200	2759	0.895	25.975
N - 16 (1)	Summary	92.000	2351	0.899	25.921
N - 17 (1)	Summary	92.116	2680	0.889	24.504
N - 18 (1)	Summary	83.721	2177	0.904	27.531
N - 19 (1)	Summary	83.546	2886	0.897	26.447
N - 20 (1)	Summary	87.065	2169	0.914	25.402
N - 21 (1)	Summary	88.234	2904	0.899	26.353
N - 22 (1)	Summary	87.855	2846	0.897	26.585
