		noyaux	noyaux	noyaux	noyaux
E - 14 (1)	Summary	96.822	2444	0.883	16.253
E - 15 (1)	Summary	97.217	1812	0.889	20.415
E - 16 (1)	Summary	96.789	2545	0.889	17.565
E - 17 (1)	Summary	99.379	2625	0.877	16.654
E - 18 (1)	Summary	82.197	2299	0.917	25.264
E - 19 (1)	Summary	106.371	2288	0.872	15.658
E - 20 (1)	Summary	96.496	2548	0.876	17.782
E - 21 (1)	Summary	96.434	2387	0.885	18.260
E - 22 (1)	Summary	106.458	2169	0.894	15.858
F - 3 (1)	Summary	100.021	2569	0.876	18.340
F - 4 (1)	Summary	100.886	2607	0.882	18.226
F - 5 (1)	Summary	102.553	2426	0.877	16.652
F - 6 (1)	Summary	99.389	2653	0.873	16.239
F - 7 (1)	Summary	101.307	2616	0.894	19.909
F - 8 (1)	Summary	102.955	2549	0.872	15.550
F - 9 (1)	Summary	98.223	2512	0.875	15.394
F - 10 (1)	Summary	97.596	2606	0.879	16.261
F - 11 (1)	Summary	99.561	2808	0.875	14.507
F - 12 (1)	Summary	97.439	2501	0.870	14.309
F - 13 (1)	Summary	97.296	2506	0.881	17.021
F - 14 (1)	Summary	99.629	2472	0.874	14.845
F - 15 (1)	Summary	104.666	2405	0.878	13.997
F - 16 (1)	Summary	104.379	2407	0.877	16.086
F - 17 (1)	Summary	109.677	2194	0.845	12.566
F - 18 (1)	Summary	98.483	2510	0.880	16.383
F - 19 (1)	Summary	99.027	2467	0.878	15.684
F - 20 (1)	Summary	98.281	2586	0.883	17.776
F - 21 (1)	Summary	145.326	2648	0.791	19.839
F - 22 (1)	Summary	97.390	2486	0.880	18.296
G - 3 (1)	Summary	107.528	2477	0.878	17.478
G - 4 (1)	Summary	103.755	2567	0.873	17.000
G - 5 (1)	Summary	102.155	2480	0.868	13.725
G - 6 (1)	Summary	99.733	2572	0.876	16.774
G - 7 (1)	Summary	101.939	2511	0.874	17.141
G - 8 (1)	Summary	104.903	2363	0.867	13.661
G - 9 (1)	Summary	98.684	2369	0.868	13.319
G - 10 (1)	Summary	93.940	2370	0.867	14.423
G - 11 (1)	Summary	101.404	2446	0.874	13.735
G - 12 (1)	Summary	98.178	2547	0.868	14.129
G - 13 (1)	Summary	93.537	2388	0.863	10.159
G - 14 (1)	Summary	95.047	2546	0.878	13.909
G - 15 (1)	Summary	95.312	2439	0.897	14.507
G - 16 (1)	Summary	100.794	2649	0.883	15.217
G - 17 (1)	Summary	99.676	2346	0.873	13.895
G - 18 (1)	Summary	94.877	2647	0.873	15.755
G - 19 (1)	Summary	101.025	2279	0.885	16.653
G - 20 (1)	Summary	99.161	2263	0.869	16.523
G - 21 (1)	Summary	94.599	2449	0.885	17.633
G - 22 (1)	Summary	110.746	2216	0.896	15.144
H - 3 (1)	Summary	106.866	2821	0.887	17.398
H - 4 (1)	Summary	103.940	2640	0.880	17.991
H - 5 (1)	Summary	102.445	2464	0.885	17.106
H - 6 (1)	Summary	101.308	2636	0.880	16.373
H - 7 (1)	Summary	104.275	2390	0.878	14.425
H - 8 (1)	Summary	108.133	2632	0.871	14.479
H - 9 (1)	Summary	95.734	2478	0.856	12.563
H - 10 (1)	Summary	99.272	2507	0.831	11.957
H - 11 (1)	Summary	98.073	2274	0.861	12.049
H - 12 (1)	Summary	94.912	2474	0.875	13.868
H - 13 (1)	Summary	98.199	2246	0.878	13.812
H - 14 (1)	Summary	97.014	2512	0.881	14.736
H - 15 (1)	Summary	96.250	2408	0.874	12.527
H - 16 (1)	Summary	112.357	2410	0.882	13.552
H - 17 (1)	Summary	99.008	2317	0.872	14.119
H - 18 (1)	Summary	95.094	2530	0.873	14.843
H - 19 (1)	Summary	99.634	2236	0.883	15.709
H - 20 (1)	Summary	96.580	2588	0.879	16.497
H - 21 (1)	Summary	99.904	2411	0.885	17.420
H - 22 (1)	Summary	98.957	2386	0.881	18.381
I - 3 (1)	Summary	107.073	2616	0.882	18.205
I - 4 (1)	Summary	101.856	2684	0.882	17.706
I - 5 (1)	Summary	93.084	2390	0.879	17.298
I - 6 (1)	Summary	90.987	2461	0.888	16.789
I - 7 (1)	Summary	97.295	2336	0.877	14.303
I - 8 (1)	Summary	88.469	2795	0.890	15.708
I - 9 (1)	Summary	82.607	2506	0.874	13.070
I - 10 (1)	Summary	91.858	2501	0.874	11.992
I - 11 (1)	Summary	126.999	2167	0.879	13.977
I - 12 (1)	Summary	93.690	2464	0.882	13.221
I - 13 (1)	Summary	93.054	2517	0.867	11.711
I - 14 (1)	Summary	91.693	2452	0.868	12.386
I - 15 (1)	Summary	98.145	929	0.877	17.607
I - 16 (1)	Summary	90.095	2311	0.861	10.141
I - 17 (1)	Summary	84.162	2436	0.874	13.396
I - 18 (1)	Summary	92.329	2407	0.869	14.739
I - 19 (1)	Summary	96.844	2214	0.862	17.172
I - 20 (1)	Summary	91.600	2254	0.894	17.637
I - 21 (1)	Summary	90.571	1278	0.903	17.083
I - 22 (1)	Summary	90.533	2586	0.886	19.541
J - 3 (1)	Summary	103.740	2550	0.885	19.120
J - 4 (1)	Summary	101.400	2534	0.881	18.114
J - 5 (1)	Summary	96.245	2425	0.886	18.197
J - 6 (1)	Summary	92.402	2610	0.889	17.143
J - 7 (1)	Summary	104.437	2189	0.894	13.475
J - 8 (1)	Summary	92.264	2254	0.890	16.271
J - 9 (1)	Summary	88.393	2525	0.874	14.556
J - 10 (1)	Summary	89.803	2355	0.897	15.182
J - 11 (1)	Summary	111.962	2312	0.876	11.478
J - 12 (1)	Summary	92.210	2608	0.871	13.599
J - 13 (1)	Summary	91.446	2461	0.867	12.915
J - 14 (1)	Summary	93.388	2376	0.868	13.055
J - 15 (1)	Summary	94.171	2316	0.877	14.265
J - 16 (1)	Summary	97.414	2613	0.877	14.903
J - 17 (1)	Summary	89.012	2230	0.880	14.642
J - 18 (1)	Summary	88.789	2471	0.877	15.232
J - 19 (1)	Summary	91.771	2227	0.884	16.294
J - 20 (1)	Summary	92.893	2293	0.891	17.194
J - 21 (1)	Summary	84.274	2409	0.895	18.596
J - 22 (1)	Summary	91.455	2521	0.886	19.110
K - 3 (1)	Summary	100.495	2658	0.884	16.479
K - 4 (1)	Summary	98.653	2724	0.873	20.336
K - 5 (1)	Summary	93.245	2693	0.876	17.682
K - 6 (1)	Summary	94.058	2556	0.883	17.366
K - 7 (1)	Summary	97.485	2531	0.886	16.869
K - 8 (1)	Summary	90.225	2869	0.885	16.835
K - 9 (1)	Summary	89.075	2624	0.884	16.141
K - 10 (1)	Summary	91.037	2590	0.870	16.954
K - 11 (1)	Summary	96.599	2587	0.875	15.014
K - 12 (1)	Summary	91.610	2611	0.879	15.626
K - 13 (1)	Summary	93.638	2769	0.879	14.883
K - 14 (1)	Summary	101.750	2660	0.852	16.037
K - 15 (1)	Summary	95.719	2329	0.881	16.352
K - 16 (1)	Summary	97.743	2561	0.875	15.862
K - 17 (1)	Summary	90.726	2507	0.886	16.716
K - 18 (1)	Summary	86.195	2565	0.883	16.926
K - 19 (1)	Summary	90.347	2559	0.892	18.527
K - 20 (1)	Summary	95.027	2439	0.871	19.955
K - 21 (1)	Summary	121.981	2629	0.856	12.406
K - 22 (1)	Summary	93.708	2567	0.890	18.628
L - 3 (1)	Summary	101.955	2672	0.886	19.426
L - 4 (1)	Summary	97.339	2594	0.885	18.840
L - 5 (1)	Summary	94.990	2501	0.883	18.177
L - 6 (1)	Summary	98.186	2539	0.875	17.155
L - 7 (1)	Summary	97.681	2604	0.883	17.821
L - 8 (1)	Summary	105.546	2652	0.887	17.581
L - 9 (1)	Summary	88.310	2459	0.887	17.846
L - 10 (1)	Summary	91.335	2489	0.880	16.193
L - 11 (1)	Summary	93.043	2517	0.888	17.018
L - 12 (1)	Summary	90.347	2517	0.883	17.692
L - 13 (1)	Summary	95.547	2542	0.885	16.718
L - 14 (1)	Summary	99.970	2564	0.891	16.611
L - 15 (1)	Summary	93.807	2497	0.885	17.191
L - 16 (1)	Summary	101.313	2327	0.879	18.249
L - 17 (1)	Summary	97.456	2409	0.891	17.534
L - 18 (1)	Summary	95.758	2432	0.885	17.807
L - 19 (1)	Summary	95.840	2230	0.892	18.281
L - 20 (1)	Summary	107.955	2248	0.898	15.208
L - 21 (1)	Summary	92.862	2554	0.894	18.299
L - 22 (1)	Summary	91.170	2681	0.895	19.199
M - 3 (1)	Summary	92.477	2898	0.886	20.797
M - 4 (1)	Summary	93.089	2653	0.884	19.339
M - 5 (1)	Summary	88.571	2624	0.883	19.105
M - 6 (1)	Summary	91.968	2335	0.892	19.214
M - 7 (1)	Summary	89.770	2506	0.881	18.580
M - 8 (1)	Summary	94.690	2807	0.882	17.608
M - 9 (1)	Summary	89.307	2516	0.887	18.803
M - 10 (1)	Summary	93.280	2746	0.889	20.152
M - 11 (1)	Summary	107.169	1538	0.862	20.273
M - 12 (1)	Summary	103.393	2523	0.882	17.505
M - 13 (1)	Summary	99.422	1227	0.901	20.800
M - 14 (1)	Summary	99.885	2585	0.893	18.607
M - 15 (1)	Summary	113.016	1753	0.875	18.227
M - 16 (1)	Summary	100.081	2576	0.900	18.862
M - 17 (1)	Summary	97.228	2311	0.897	18.292
M - 18 (1)	Summary	95.892	2395	0.892	18.934
M - 19 (1)	Summary	93.610	2369	0.884	18.111
M - 20 (1)	Summary	93.483	2602	0.888	19.453
M - 21 (1)	Summary	91.170	2710	0.892	20.336
M - 22 (1)	Summary	88.654	2614	0.894	23.060
N - 3 (1)	Summary	92.665	2623	0.897	21.458
N - 4 (1)	Summary	101.031	2553	0.896	18.330
N - 5 (1)	Summary	99.963	2590	0.890	19.604
N - 6 (1)	Summary	102.709	2609	0.882	18.871
N - 7 (1)	Summary	103.866	2495	0.886	18.602
N - 8 (1)	Summary	113.865	2557	0.888	17.078
N - 9 (1)	Summary	98.467	2631	0.892	19.805
N - 10 (1)	Summary	98.161	2426	0.902	19.741
N - 11 (1)	Summary	101.751	2516	0.898	18.913
N - 12 (1)	Summary	103.050	2538	0.891	17.891
N - 13 (1)	Summary	112.903	2286	0.901	14.452
N - 14 (1)	Summary	99.328	2652	0.894	19.620
N - 15 (1)	Summary	94.267	2694	0.898	20.152
N - 16 (1)	Summary	105.589	2282	0.900	18.442
N - 17 (1)	Summary	102.839	2196	0.897	18.915
N - 18 (1)	Summary	94.922	2326	0.898	19.878
N - 19 (1)	Summary	99.695	2241	0.901	17.762
N - 20 (1)	Summary	94.340	2643	0.894	20.349
N - 21 (1)	Summary	94.503	2747	0.888	20.847
N - 22 (1)	Summary	93.384	2583	0.896	20.849
