		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
C - 3 (1)	Summary	93.408	2442	0.885	23.058
C - 4 (1)	Summary	99.382	3026	0.886	20.766
C - 5 (1)	Summary	100.716	2321	0.877	17.900
C - 6 (1)	Summary	100.854	2593	0.884	18.785
C - 7 (1)	Summary	97.588	2369	0.889	18.604
C - 8 (1)	Summary	98.070	2643	0.883	17.410
C - 9 (1)	Summary	98.630	2359	0.889	19.412
C - 10 (1)	Summary	100.526	2466	0.885	19.411
C - 11 (1)	Summary	82.804	1967	0.923	23.080
C - 12 (1)	Summary	95.751	2421	0.884	18.175
C - 13 (1)	Summary	94.577	2424	0.889	19.430
C - 14 (1)	Summary	107.273	2341	0.827	21.711
C - 15 (1)	Summary	100.824	2291	0.881	18.247
C - 16 (1)	Summary	101.876	2547	0.877	18.579
C - 17 (1)	Summary	96.746	2277	0.883	20.197
C - 18 (1)	Summary	101.934	2311	0.885	18.159
C - 19 (1)	Summary	94.288	2281	0.895	22.571
C - 20 (1)	Summary	98.745	2507	0.886	22.145
C - 21 (1)	Summary	92.957	2501	0.892	20.102
C - 22 (1)	Summary	92.939	2718	0.894	20.992
D - 3 (1)	Summary	94.870	2505	0.887	21.086
D - 4 (1)	Summary	90.728	2713	0.888	22.137
D - 5 (1)	Summary	99.369	2436	0.888	17.683
D - 6 (1)	Summary	98.942	2633	0.883	18.477
D - 7 (1)	Summary	97.264	2396	0.889	17.609
D - 8 (1)	Summary	139.211	1560	0.858	14.579
D - 9 (1)	Summary	102.045	2278	0.883	16.843
D - 10 (1)	Summary	96.403	2351	0.888	17.535
D - 11 (1)	Summary	96.631	2295	0.878	16.157
D - 12 (1)	Summary	95.734	2364	0.880	16.983
D - 13 (1)	Summary	95.980	2274	0.887	18.013
D - 14 (1)	Summary	93.934	2345	0.884	18.275
D - 15 (1)	Summary	96.579	2353	0.890	18.135
D - 16 (1)	Summary	94.516	2632	0.884	19.135
D - 17 (1)	Summary	106.597	2170	0.878	16.774
D - 18 (1)	Summary	104.151	2599	0.852	18.131
D - 19 (1)	Summary	100.616	2161	0.892	20.292
D - 20 (1)	Summary	101.376	2462	0.880	22.592
D - 21 (1)	Summary	92.249	2360	0.895	19.061
D - 22 (1)	Summary	91.967	2356	0.899	20.681
E - 3 (1)	Summary	99.535	2681	0.882	18.405
E - 4 (1)	Summary	94.185	2484	0.890	19.851
E - 5 (1)	Summary	87.442	2184	0.906	21.875
E - 6 (1)	Summary	102.711	2686	0.862	17.443
E - 7 (1)	Summary	104.113	2403	0.882	16.348
E - 8 (1)	Summary	100.788	2430	0.890	17.022
E - 9 (1)	Summary	96.188	2393	0.886	16.626
E - 10 (1)	Summary	100.537	2593	0.861	17.873
E - 11 (1)	Summary	100.988	2476	0.875	15.887
E - 12 (1)	Summary	96.948	2584	0.876	15.714
E - 13 (1)	Summary	100.697	2300	0.879	15.633
