		noyaux	noyaux	noyaux	noyaux
E - 14 (1)	Summary	91.512	2823	0.874	15.166
E - 15 (1)	Summary	95.187	2938	0.870	13.884
E - 16 (1)	Summary	90.072	2866	0.871	15.095
E - 17 (1)	Summary	96.441	2697	0.853	13.678
E - 18 (1)	Summary	88.835	2783	0.851	11.148
E - 19 (1)	Summary	93.998	995	0.915	21.719
E - 20 (1)	Summary	90.322	2691	0.852	12.040
E - 21 (1)	Summary	100.322	2915	0.852	13.381
E - 22 (1)	Summary	100.108	2876	0.866	15.869
F - 3 (1)	Summary	97.533	2791	0.872	16.357
F - 4 (1)	Summary	107.614	2806	0.846	13.871
F - 5 (1)	Summary	93.891	2999	0.853	15.265
F - 6 (1)	Summary	95.615	2989	0.853	13.107
F - 7 (1)	Summary	96.288	2885	0.859	13.169
F - 8 (1)	Summary	96.369	2822	0.842	12.321
F - 9 (1)	Summary	92.396	2907	0.860	12.994
F - 10 (1)	Summary	93.426	2777	0.867	14.941
F - 11 (1)	Summary	90.909	2869	0.865	12.343
F - 12 (1)	Summary	95.609	2631	0.865	13.249
F - 13 (1)	Summary	95.033	2888	0.865	14.990
F - 14 (1)	Summary	91.663	2800	0.860	14.675
F - 15 (1)	Summary	95.494	3003	0.863	14.760
F - 16 (1)	Summary	93.876	2825	0.859	13.868
F - 17 (1)	Summary	86.251	2777	0.858	10.670
F - 18 (1)	Summary	97.066	2547	0.843	10.328
F - 19 (1)	Summary	96.778	2822	0.850	12.432
F - 20 (1)	Summary	93.174	2739	0.845	11.857
F - 21 (1)	Summary	96.520	3248	0.857	13.778
F - 22 (1)	Summary	103.259	2778	0.852	14.739
G - 3 (1)	Summary	105.050	2732	0.860	15.210
G - 4 (1)	Summary	99.974	2806	0.875	16.446
G - 5 (1)	Summary	99.839	2731	0.867	14.290
G - 6 (1)	Summary	96.109	2866	0.864	12.888
G - 7 (1)	Summary	99.432	2390	0.851	13.005
G - 8 (1)	Summary	97.720	2615	0.860	11.848
G - 9 (1)	Summary	102.454	2378	0.860	8.520
G - 10 (1)	Summary	94.532	2897	0.875	15.240
G - 11 (1)	Summary	97.841	2896	0.863	14.970
G - 12 (1)	Summary	92.007	2870	0.873	16.000
G - 13 (1)	Summary	96.089	2793	0.864	14.873
G - 14 (1)	Summary	93.291	2832	0.871	14.682
G - 15 (1)	Summary	94.036	2767	0.857	13.114
G - 16 (1)	Summary	91.383	2970	0.873	12.210
G - 17 (1)	Summary	104.034	2157	0.878	13.185
G - 18 (1)	Summary	92.407	2763	0.864	11.578
G - 19 (1)	Summary	99.132	2852	0.863	12.744
G - 20 (1)	Summary	91.452	2866	0.849	11.328
G - 21 (1)	Summary	104.388	3034	0.844	13.887
G - 22 (1)	Summary	99.630	2870	0.868	14.805
H - 3 (1)	Summary	100.489	2965	0.870	16.813
H - 4 (1)	Summary	104.653	2790	0.871	17.343
H - 5 (1)	Summary	101.283	2758	0.859	14.557
H - 6 (1)	Summary	98.778	2815	0.867	13.270
H - 7 (1)	Summary	97.420	3020	0.858	13.423
H - 8 (1)	Summary	105.272	2779	0.862	13.220
H - 9 (1)	Summary	98.975	2953	0.862	12.259
H - 10 (1)	Summary	97.413	2842	0.867	14.313
H - 11 (1)	Summary	95.472	2821	0.867	14.605
H - 12 (1)	Summary	96.921	2978	0.875	15.440
H - 13 (1)	Summary	95.374	2771	0.881	18.060
H - 14 (1)	Summary	96.685	2729	0.887	16.838
H - 15 (1)	Summary	92.166	2846	0.869	13.976
H - 16 (1)	Summary	96.894	2729	0.874	13.518
H - 17 (1)	Summary	88.262	2867	0.862	11.308
H - 18 (1)	Summary	94.703	2713	0.840	10.561
H - 19 (1)	Summary	99.457	2684	0.860	12.555
H - 20 (1)	Summary	94.961	2762	0.848	11.506
H - 21 (1)	Summary	97.432	3210	0.840	11.740
H - 22 (1)	Summary	104.582	2903	0.877	16.062
I - 3 (1)	Summary	101.727	2974	0.864	15.571
I - 4 (1)	Summary	98.069	2957	0.861	14.262
I - 5 (1)	Summary	97.988	2522	0.848	14.446
I - 6 (1)	Summary	88.338	2535	0.866	13.867
I - 7 (1)	Summary	98.086	2810	0.849	13.303
I - 8 (1)	Summary	94.150	2856	0.870	13.121
I - 9 (1)	Summary	82.661	2231	0.832	7.339
I - 10 (1)	Summary	90.016	2799	0.874	14.537
I - 11 (1)	Summary	90.753	2782	0.857	11.613
I - 12 (1)	Summary	86.552	2705	0.860	11.809
I - 13 (1)	Summary	89.266	2937	0.866	13.303
I - 14 (1)	Summary	90.467	2822	0.874	15.165
I - 15 (1)	Summary	87.556	2586	0.873	15.554
I - 16 (1)	Summary	81.227	2534	0.860	11.515
I - 17 (1)	Summary	97.000	2734	0.818	14.753
I - 18 (1)	Summary	88.607	2673	0.857	10.801
I - 19 (1)	Summary	103.411	3020	0.830	14.514
I - 20 (1)	Summary	99.201	2482	0.866	14.369
I - 21 (1)	Summary	76.539	2333	0.905	22.304
I - 22 (1)	Summary	100.516	2889	0.873	16.340
J - 3 (1)	Summary	103.061	2810	0.875	16.397
J - 4 (1)	Summary	98.879	2780	0.870	16.222
J - 5 (1)	Summary	95.031	2715	0.860	14.418
J - 6 (1)	Summary	91.488	2908	0.858	14.348
J - 7 (1)	Summary	94.690	2945	0.875	14.026
J - 8 (1)	Summary	93.078	2906	0.878	14.353
J - 9 (1)	Summary	91.098	2872	0.872	14.549
J - 10 (1)	Summary	91.845	2980	0.870	15.067
J - 11 (1)	Summary	91.430	2910	0.857	11.656
J - 12 (1)	Summary	93.533	2766	0.862	12.164
J - 13 (1)	Summary	93.299	2711	0.873	14.505
J - 14 (1)	Summary	91.214	2728	0.865	11.891
J - 15 (1)	Summary	100.323	2838	0.877	16.376
J - 16 (1)	Summary	93.769	2957	0.864	14.044
J - 17 (1)	Summary	90.158	2918	0.860	12.778
J - 18 (1)	Summary	91.957	2826	0.861	12.575
J - 19 (1)	Summary	93.115	2965	0.855	11.641
J - 20 (1)	Summary	94.573	2740	0.866	13.919
J - 21 (1)	Summary	96.228	3240	0.859	13.874
J - 22 (1)	Summary	101.067	2994	0.868	16.011
K - 3 (1)	Summary	103.213	2801	0.870	15.943
K - 4 (1)	Summary	96.994	2917	0.865	16.361
K - 5 (1)	Summary	101.794	2776	0.856	14.709
K - 6 (1)	Summary	92.684	2796	0.856	13.650
K - 7 (1)	Summary	98.037	2650	0.853	12.812
K - 8 (1)	Summary	93.761	2916	0.864	14.314
K - 9 (1)	Summary	109.527	2428	0.899	11.513
K - 10 (1)	Summary	90.046	2859	0.863	15.287
K - 11 (1)	Summary	117.808	2390	0.858	11.017
K - 12 (1)	Summary	88.732	2798	0.872	15.339
K - 13 (1)	Summary	90.545	2866	0.852	13.206
K - 14 (1)	Summary	88.047	2976	0.869	13.782
K - 15 (1)	Summary	93.492	2840	0.862	13.379
K - 16 (1)	Summary	88.211	2841	0.865	13.973
K - 17 (1)	Summary	92.063	2785	0.854	13.627
K - 18 (1)	Summary	90.811	2842	0.864	14.601
K - 19 (1)	Summary	109.941	3042	0.794	15.642
K - 20 (1)	Summary	90.108	2827	0.852	10.360
K - 21 (1)	Summary	78.020	2328	0.905	21.609
K - 22 (1)	Summary	94.820	3062	0.873	16.776
L - 3 (1)	Summary	100.121	2840	0.862	17.138
L - 4 (1)	Summary	97.420	3086	0.863	15.993
L - 5 (1)	Summary	91.579	2959	0.860	15.316
L - 6 (1)	Summary	89.903	2961	0.866	15.126
L - 7 (1)	Summary	95.745	2976	0.855	13.916
L - 8 (1)	Summary	100.701	2852	0.867	15.741
L - 9 (1)	Summary	89.369	2908	0.872	14.895
L - 10 (1)	Summary	93.924	2846	0.865	16.279
L - 11 (1)	Summary	98.142	2795	0.870	15.398
L - 12 (1)	Summary	90.834	2905	0.869	15.743
L - 13 (1)	Summary	92.957	2951	0.870	15.485
L - 14 (1)	Summary	92.050	2863	0.863	14.135
L - 15 (1)	Summary	93.297	2989	0.866	14.886
L - 16 (1)	Summary	95.075	2663	0.872	14.015
L - 17 (1)	Summary	97.256	2869	0.867	14.564
L - 18 (1)	Summary	93.928	2631	0.870	14.728
L - 19 (1)	Summary	95.427	3109	0.858	14.759
L - 20 (1)	Summary	93.961	3058	0.854	14.444
L - 21 (1)	Summary	91.013	3211	0.866	15.639
L - 22 (1)	Summary	93.564	2754	0.870	17.353
M - 3 (1)	Summary	99.570	2941	0.864	15.500
M - 4 (1)	Summary	91.607	2798	0.870	15.610
M - 5 (1)	Summary	94.856	2726	0.869	16.521
M - 6 (1)	Summary	92.558	2850	0.873	16.957
M - 7 (1)	Summary	105.918	2815	0.864	14.057
M - 8 (1)	Summary	99.759	2754	0.868	14.319
M - 9 (1)	Summary	107.768	2742	0.846	15.847
M - 10 (1)	Summary	95.979	2629	0.872	15.873
M - 11 (1)	Summary	102.080	2558	0.868	15.690
M - 12 (1)	Summary	94.647	2828	0.870	16.154
M - 13 (1)	Summary	112.621	2796	0.814	17.992
M - 14 (1)	Summary	98.768	2567	0.889	17.471
M - 15 (1)	Summary	99.193	2819	0.868	16.218
M - 16 (1)	Summary	97.194	2715	0.882	16.277
M - 17 (1)	Summary	103.448	2694	0.865	14.879
M - 18 (1)	Summary	89.491	2884	0.885	16.738
M - 19 (1)	Summary	96.085	3034	0.866	16.254
M - 20 (1)	Summary	98.068	2996	0.867	15.939
M - 21 (1)	Summary	99.796	3271	0.876	16.160
M - 22 (1)	Summary	100.348	2995	0.872	17.110
N - 3 (1)	Summary	93.510	3105	0.868	17.484
N - 4 (1)	Summary	100.341	2968	0.874	16.395
N - 5 (1)	Summary	96.861	2855	0.878	17.719
N - 6 (1)	Summary	97.719	2727	0.876	17.670
N - 7 (1)	Summary	99.535	2843	0.870	16.526
N - 8 (1)	Summary	104.348	2884	0.866	15.992
N - 9 (1)	Summary	97.973	2917	0.870	17.650
N - 10 (1)	Summary	94.982	2774	0.872	18.120
N - 11 (1)	Summary	99.534	2909	0.870	17.581
N - 12 (1)	Summary	98.760	2929	0.866	17.132
N - 13 (1)	Summary	95.984	3012	0.875	17.764
N - 14 (1)	Summary	94.741	2694	0.884	18.019
N - 15 (1)	Summary	99.160	2966	0.881	17.738
N - 16 (1)	Summary	100.874	2866	0.871	17.362
N - 17 (1)	Summary	98.465	2924	0.874	17.096
N - 18 (1)	Summary	98.395	2771	0.876	17.696
N - 19 (1)	Summary	96.797	3008	0.878	17.619
N - 20 (1)	Summary	97.439	2958	0.877	17.735
N - 21 (1)	Summary	99.070	3196	0.868	17.864
N - 22 (1)	Summary	100.464	2930	0.886	19.194
