		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
C - 3 (1)	Summary	96.299	3045	0.862	16.603
C - 4 (1)	Summary	96.328	3019	0.876	17.600
C - 5 (1)	Summary	100.424	2835	0.865	15.313
C - 6 (1)	Summary	94.207	2903	0.876	16.546
C - 7 (1)	Summary	98.038	2683	0.870	14.220
C - 8 (1)	Summary	97.613	2626	0.877	16.048
C - 9 (1)	Summary	96.383	2809	0.865	14.744
C - 10 (1)	Summary	97.008	2720	0.875	16.249
C - 11 (1)	Summary	100.315	2870	0.868	17.977
C - 12 (1)	Summary	91.731	2852	0.875	15.754
C - 13 (1)	Summary	94.446	2738	0.858	16.658
C - 14 (1)	Summary	93.534	2726	0.879	17.772
C - 15 (1)	Summary	106.035	2829	0.873	15.999
C - 16 (1)	Summary	96.054	2863	0.870	15.985
C - 17 (1)	Summary	102.327	2554	0.866	15.993
C - 18 (1)	Summary	98.628	2800	0.881	15.609
C - 19 (1)	Summary	103.916	2560	0.869	17.313
C - 20 (1)	Summary	100.982	2711	0.877	17.852
C - 21 (1)	Summary	99.614	3043	0.853	15.355
C - 22 (1)	Summary	92.452	3090	0.871	17.832
D - 3 (1)	Summary	98.483	2798	0.870	13.878
D - 4 (1)	Summary	102.250	2849	0.866	15.411
D - 5 (1)	Summary	106.369	2895	0.880	15.726
D - 6 (1)	Summary	101.228	1921	0.889	15.098
D - 7 (1)	Summary	102.510	2945	0.878	16.613
D - 8 (1)	Summary	111.589	2708	0.833	16.804
D - 9 (1)	Summary	95.063	2874	0.872	15.078
D - 10 (1)	Summary	90.648	2548	0.867	15.939
D - 11 (1)	Summary	97.554	2818	0.861	13.577
D - 12 (1)	Summary	93.687	2627	0.856	13.345
D - 13 (1)	Summary	93.275	2690	0.873	15.327
D - 14 (1)	Summary	97.822	2607	0.872	15.002
D - 15 (1)	Summary	91.359	2828	0.860	13.858
D - 16 (1)	Summary	94.944	2759	0.856	13.255
D - 17 (1)	Summary	96.770	2842	0.858	15.173
D - 18 (1)	Summary	97.229	2747	0.856	14.058
D - 19 (1)	Summary	99.414	2870	0.870	18.042
D - 20 (1)	Summary	103.347	2629	0.860	17.874
D - 21 (1)	Summary	97.286	2934	0.858	14.496
D - 22 (1)	Summary	103.756	2453	0.846	14.300
E - 3 (1)	Summary	100.607	2777	0.867	16.223
E - 4 (1)	Summary	94.678	2943	0.859	14.051
E - 5 (1)	Summary	100.079	2970	0.867	15.787
E - 6 (1)	Summary	97.770	2712	0.874	14.634
E - 7 (1)	Summary	99.013	2703	0.854	13.859
E - 8 (1)	Summary	91.443	2780	0.864	12.844
E - 9 (1)	Summary	92.332	2735	0.860	11.993
E - 10 (1)	Summary	87.938	2890	0.873	16.803
E - 11 (1)	Summary	94.279	2640	0.851	12.778
E - 12 (1)	Summary	89.487	2726	0.864	13.542
E - 13 (1)	Summary	88.703	2756	0.849	10.100
