		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
H - 13 (1)	Summary	86.036	2750	0.904	26.745
H - 14 (1)	Summary	89.782	2755	0.903	25.859
H - 15 (1)	Summary	89.393	2649	0.903	25.516
H - 16 (1)	Summary	94.190	2821	0.899	25.351
H - 17 (1)	Summary	90.163	2608	0.904	26.024
H - 18 (1)	Summary	85.709	2598	0.900	26.233
H - 19 (1)	Summary	84.944	2127	0.888	25.277
H - 20 (1)	Summary	86.572	2716	0.907	25.744
H - 21 (1)	Summary	85.947	2827	0.905	26.806
H - 22 (1)	Summary	87.800	2857	0.902	26.428
I - 3 (1)	Summary	91.251	2758	0.897	26.487
I - 4 (1)	Summary	85.773	2992	0.902	26.985
I - 5 (1)	Summary	79.384	2436	0.923	29.209
I - 6 (1)	Summary	83.447	2808	0.907	26.409
I - 7 (1)	Summary	81.015	2680	0.920	28.381
I - 8 (1)	Summary	80.074	2881	0.912	27.773
I - 9 (1)	Summary	80.079	2708	0.903	26.812
I - 10 (1)	Summary	84.000	2617	0.902	26.590
I - 11 (1)	Summary	87.743	2738	0.895	26.296
I - 12 (1)	Summary	89.829	2687	0.900	26.521
I - 13 (1)	Summary	83.578	2517	0.902	26.792
I - 14 (1)	Summary	83.093	2848	0.895	26.773
I - 15 (1)	Summary	86.797	2579	0.902	26.749
I - 16 (1)	Summary	82.756	2748	0.914	27.586
I - 17 (1)	Summary	80.512	2618	0.909	27.042
I - 18 (1)	Summary	82.874	2614	0.902	26.991
I - 19 (1)	Summary	82.559	2683	0.910	26.697
I - 20 (1)	Summary	84.797	2584	0.910	26.361
I - 21 (1)	Summary	115.598	2718	0.858	11.964
I - 22 (1)	Summary	83.640	2734	0.910	27.244
J - 3 (1)	Summary	90.033	2830	0.897	25.495
J - 4 (1)	Summary	87.052	2789	0.897	29.007
J - 5 (1)	Summary	82.567	2428	0.912	26.114
J - 6 (1)	Summary	82.121	2464	0.913	27.512
J - 7 (1)	Summary	79.299	3016	0.908	28.169
J - 8 (1)	Summary	78.257	2868	0.914	28.295
J - 9 (1)	Summary	80.699	2805	0.904	26.794
J - 10 (1)	Summary	85.174	2507	0.901	26.001
J - 11 (1)	Summary	86.151	2730	0.896	25.574
J - 12 (1)	Summary	81.128	2910	0.899	26.381
J - 13 (1)	Summary	84.853	2722	0.905	25.971
J - 14 (1)	Summary	84.896	2888	0.901	26.449
J - 15 (1)	Summary	83.020	2776	0.901	27.101
J - 16 (1)	Summary	83.253	2841	0.908	27.077
J - 17 (1)	Summary	79.815	2716	0.907	26.566
J - 18 (1)	Summary	79.297	2724	0.904	26.874
J - 19 (1)	Summary	83.640	2773	0.900	25.917
J - 20 (1)	Summary	82.827	2792	0.907	26.599
J - 21 (1)	Summary	82.717	2808	0.904	27.026
J - 22 (1)	Summary	86.600	2832	0.901	26.456
K - 3 (1)	Summary	89.268	2809	0.898	26.330
K - 4 (1)	Summary	83.552	2755	0.906	27.987
K - 5 (1)	Summary	82.275	2785	0.910	26.936
K - 6 (1)	Summary	85.176	2834	0.905	25.843
K - 7 (1)	Summary	82.587	2714	0.901	26.385
K - 8 (1)	Summary	83.734	2909	0.908	27.096
K - 9 (1)	Summary	81.153	2757	0.898	26.014
K - 10 (1)	Summary	81.794	2657	0.906	26.770
K - 11 (1)	Summary	87.214	2527	0.906	26.299
K - 12 (1)	Summary	83.328	2794	0.902	26.679
K - 13 (1)	Summary	87.680	2732	0.898	25.554
