		noyaux	noyaux	noyaux	noyaux
E - 14 (1)	Summary	95.380	2965	0.891	23.723
E - 15 (1)	Summary	96.614	2967	0.897	23.387
E - 16 (1)	Summary	99.327	2915	0.890	24.859
E - 17 (1)	Summary	96.655	2759	0.899	24.127
E - 18 (1)	Summary	95.671	2649	0.894	23.634
E - 19 (1)	Summary	95.504	2698	0.902	24.138
E - 20 (1)	Summary	103.285	2596	0.893	23.069
E - 21 (1)	Summary	90.831	2774	0.891	26.238
E - 22 (1)	Summary	88.792	3203	0.883	26.271
F - 3 (1)	Summary	93.718	2855	0.900	24.878
F - 4 (1)	Summary	87.148	2867	0.891	25.438
F - 5 (1)	Summary	91.528	2970	0.887	24.406
F - 6 (1)	Summary	90.101	3173	0.894	24.608
F - 7 (1)	Summary	93.562	2953	0.893	23.800
F - 8 (1)	Summary	108.506	2666	0.888	19.181
F - 9 (1)	Summary	96.898	2932	0.890	21.340
F - 10 (1)	Summary	102.183	2333	0.885	18.940
F - 11 (1)	Summary	104.031	2630	0.890	19.232
F - 12 (1)	Summary	83.725	2847	0.908	24.958
F - 13 (1)	Summary	91.437	2975	0.890	21.999
F - 14 (1)	Summary	89.101	2988	0.898	22.127
F - 15 (1)	Summary	94.854	2687	0.889	22.518
F - 16 (1)	Summary	91.222	2981	0.890	23.209
F - 17 (1)	Summary	87.518	2894	0.893	24.082
F - 18 (1)	Summary	106.439	2605	0.892	20.193
F - 19 (1)	Summary	89.761	2856	0.892	24.685
F - 20 (1)	Summary	90.731	2813	0.895	24.307
F - 21 (1)	Summary	91.418	3011	0.896	25.307
F - 22 (1)	Summary	91.023	2854	0.895	25.315
G - 3 (1)	Summary	88.502	2990	0.899	26.532
G - 4 (1)	Summary	91.065	2927	0.888	25.339
G - 5 (1)	Summary	91.417	2826	0.894	24.629
G - 6 (1)	Summary	91.174	2851	0.897	24.397
G - 7 (1)	Summary	93.774	2975	0.898	24.021
G - 8 (1)	Summary	100.022	2879	0.893	22.616
G - 9 (1)	Summary	141.078	3327	0.702	18.777
G - 10 (1)	Summary	95.311	2988	0.888	20.553
G - 11 (1)	Summary	91.360	2946	0.898	20.784
G - 12 (1)	Summary	92.714	2724	0.894	20.611
G - 13 (1)	Summary	88.686	2929	0.893	19.975
G - 14 (1)	Summary	91.655	2840	0.899	20.230
G - 15 (1)	Summary	94.703	2929	0.893	21.280
G - 16 (1)	Summary	92.489	2830	0.898	22.562
G - 17 (1)	Summary	91.950	2820	0.896	23.323
G - 18 (1)	Summary	90.040	2855	0.896	23.659
G - 19 (1)	Summary	91.950	2754	0.900	24.140
G - 20 (1)	Summary	91.481	2864	0.891	24.647
G - 21 (1)	Summary	88.642	3038	0.899	25.160
G - 22 (1)	Summary	89.098	2741	0.906	25.950
H - 3 (1)	Summary	93.955	2927	0.899	25.891
H - 4 (1)	Summary	96.166	2879	0.892	24.577
H - 5 (1)	Summary	98.014	2847	0.894	24.727
H - 6 (1)	Summary	98.009	2861	0.903	24.429
H - 7 (1)	Summary	97.033	2902	0.905	23.877
H - 8 (1)	Summary	104.362	3008	0.900	23.243
H - 9 (1)	Summary	93.996	2995	0.877	24.424
H - 10 (1)	Summary	92.536	2706	0.897	23.326
H - 11 (1)	Summary	117.544	2837	0.869	21.114
H - 12 (1)	Summary	92.600	2878	0.891	19.496
H - 13 (1)	Summary	92.960	2744	0.894	18.764
H - 14 (1)	Summary	92.010	2815	0.895	19.182
H - 15 (1)	Summary	91.350	2725	0.899	19.837
H - 16 (1)	Summary	102.578	2722	0.904	20.411
H - 17 (1)	Summary	92.913	2932	0.901	22.203
H - 18 (1)	Summary	92.922	2913	0.900	23.301
H - 19 (1)	Summary	105.701	2524	0.883	20.628
H - 20 (1)	Summary	96.849	2889	0.895	22.674
H - 21 (1)	Summary	92.313	2777	0.895	25.520
H - 22 (1)	Summary	106.514	2436	0.895	21.192
I - 3 (1)	Summary	101.351	2773	0.884	27.039
I - 4 (1)	Summary	92.789	3115	0.885	26.826
I - 5 (1)	Summary	91.657	2835	0.895	25.870
I - 6 (1)	Summary	100.424	2455	0.888	20.844
I - 7 (1)	Summary	84.489	3015	0.904	26.545
I - 8 (1)	Summary	95.077	2869	0.893	23.397
I - 9 (1)	Summary	83.359	2746	0.903	25.120
I - 10 (1)	Summary	89.507	2841	0.897	23.493
I - 11 (1)	Summary	93.239	2943	0.895	22.564
I - 12 (1)	Summary	87.228	2252	0.888	18.121
I - 13 (1)	Summary	101.097	2812	0.892	22.266
I - 14 (1)	Summary	92.170	2804	0.886	22.447
I - 15 (1)	Summary	85.945	2794	0.896	21.287
I - 16 (1)	Summary	86.556	2761	0.897	22.350
I - 17 (1)	Summary	79.627	2836	0.901	23.780
I - 18 (1)	Summary	86.146	2661	0.891	22.583
I - 19 (1)	Summary	86.856	2746	0.895	24.813
I - 20 (1)	Summary	91.604	2751	0.893	24.970
I - 21 (1)	Summary	85.263	2942	0.901	26.255
I - 22 (1)	Summary	91.556	2721	0.906	25.693
J - 3 (1)	Summary	91.537	2884	0.896	25.984
J - 4 (1)	Summary	89.856	2833	0.895	26.316
J - 5 (1)	Summary	92.914	3017	0.886	26.160
J - 6 (1)	Summary	89.084	2629	0.889	26.696
J - 7 (1)	Summary	82.570	3027	0.901	26.086
J - 8 (1)	Summary	83.374	2669	0.892	26.491
J - 9 (1)	Summary	80.976	2700	0.902	25.841
J - 10 (1)	Summary	83.461	3016	0.895	25.082
J - 11 (1)	Summary	89.468	2778	0.886	24.482
J - 12 (1)	Summary	86.494	2840	0.893	23.569
J - 13 (1)	Summary	104.277	2547	0.891	18.443
J - 14 (1)	Summary	89.841	2917	0.900	22.419
J - 15 (1)	Summary	87.966	2913	0.887	22.255
J - 16 (1)	Summary	83.099	2780	0.898	23.051
J - 17 (1)	Summary	98.893	2570	0.881	18.896
J - 18 (1)	Summary	86.318	2865	0.886	23.214
J - 19 (1)	Summary	87.847	2805	0.898	23.427
J - 20 (1)	Summary	85.285	2899	0.891	24.960
J - 21 (1)	Summary	94.517	2710	0.893	24.677
J - 22 (1)	Summary	93.294	2802	0.895	25.607
K - 3 (1)	Summary	95.116	2826	0.894	26.119
K - 4 (1)	Summary	89.045	2909	0.897	26.212
K - 5 (1)	Summary	89.783	2823	0.897	26.450
K - 6 (1)	Summary	93.169	3004	0.887	26.275
K - 7 (1)	Summary	90.064	2953	0.905	25.230
K - 8 (1)	Summary	95.064	2889	0.900	24.985
K - 9 (1)	Summary	82.732	2748	0.898	25.637
K - 10 (1)	Summary	92.708	2805	0.878	25.083
K - 11 (1)	Summary	88.009	2892	0.894	25.359
K - 12 (1)	Summary	83.540	2865	0.897	24.732
K - 13 (1)	Summary	87.449	2716	0.898	24.197
K - 14 (1)	Summary	89.419	2677	0.903	24.285
K - 15 (1)	Summary	95.716	2486	0.895	22.458
K - 16 (1)	Summary	106.007	2510	0.895	19.803
K - 17 (1)	Summary	84.821	2817	0.897	24.475
K - 18 (1)	Summary	86.201	2893	0.902	24.886
K - 19 (1)	Summary	83.579	2894	0.898	26.003
K - 20 (1)	Summary	85.235	2566	0.890	25.075
K - 21 (1)	Summary	84.390	2905	0.897	26.247
K - 22 (1)	Summary	88.731	3078	0.896	25.640
L - 3 (1)	Summary	90.814	2881	0.896	26.818
L - 4 (1)	Summary	89.453	2949	0.892	26.127
L - 5 (1)	Summary	106.027	2756	0.858	21.016
L - 6 (1)	Summary	87.247	2953	0.893	25.918
L - 7 (1)	Summary	89.304	2987	0.892	25.109
L - 8 (1)	Summary	90.478	2938	0.895	25.548
L - 9 (1)	Summary	84.730	2791	0.890	25.185
L - 10 (1)	Summary	86.149	2972	0.897	23.935
L - 11 (1)	Summary	97.108	1860	0.898	21.247
L - 12 (1)	Summary	83.871	2867	0.900	26.100
L - 13 (1)	Summary	86.976	2709	0.906	25.795
L - 14 (1)	Summary	86.784	2438	0.905	25.517
L - 15 (1)	Summary	88.959	2830	0.904	25.160
L - 16 (1)	Summary	88.101	2793	0.898	25.200
L - 17 (1)	Summary	88.656	3081	0.900	24.613
L - 18 (1)	Summary	97.495	2475	0.895	20.705
L - 19 (1)	Summary	83.988	2841	0.898	26.123
L - 20 (1)	Summary	80.438	2824	0.903	26.642
L - 21 (1)	Summary	89.122	2793	0.897	25.556
L - 22 (1)	Summary	91.748	2933	0.884	24.699
M - 3 (1)	Summary	88.436	2919	0.903	27.249
M - 4 (1)	Summary	87.222	2932	0.899	27.513
M - 5 (1)	Summary	91.104	2960	0.897	26.576
M - 6 (1)	Summary	88.450	2913	0.901	26.681
M - 7 (1)	Summary	85.641	2903	0.896	26.188
M - 8 (1)	Summary	93.909	2895	0.894	25.859
M - 9 (1)	Summary	86.693	2765	0.900	26.092
M - 10 (1)	Summary	86.437	2713	0.904	26.467
M - 11 (1)	Summary	90.420	2769	0.898	25.715
M - 12 (1)	Summary	87.981	2541	0.906	26.016
M - 13 (1)	Summary	84.956	2849	0.899	26.330
M - 14 (1)	Summary	86.206	2630	0.906	26.321
M - 15 (1)	Summary	93.071	2836	0.901	25.792
M - 16 (1)	Summary	94.964	2724	0.893	25.203
M - 17 (1)	Summary	107.384	2403	0.902	21.758
M - 18 (1)	Summary	90.714	2651	0.901	25.567
M - 19 (1)	Summary	89.434	2778	0.905	25.457
M - 20 (1)	Summary	87.345	2749	0.901	26.212
M - 21 (1)	Summary	89.852	2767	0.900	26.673
M - 22 (1)	Summary	87.049	2534	0.901	26.460
N - 3 (1)	Summary	86.501	2838	0.900	27.230
N - 4 (1)	Summary	87.333	2751	0.899	26.707
N - 5 (1)	Summary	89.264	3005	0.890	26.761
N - 6 (1)	Summary	97.386	2967	0.894	25.525
N - 7 (1)	Summary	96.437	2840	0.896	25.507
N - 8 (1)	Summary	104.071	2757	0.895	24.566
N - 9 (1)	Summary	93.152	2893	0.900	26.296
N - 10 (1)	Summary	93.917	2953	0.895	26.237
N - 11 (1)	Summary	111.659	2434	0.898	21.799
N - 12 (1)	Summary	96.325	2671	0.906	25.237
N - 13 (1)	Summary	93.562	2867	0.900	25.451
N - 14 (1)	Summary	97.053	2682	0.899	25.339
N - 15 (1)	Summary	94.582	2826	0.899	25.533
N - 16 (1)	Summary	92.446	2951	0.897	25.335
N - 17 (1)	Summary	94.982	2642	0.904	25.598
N - 18 (1)	Summary	102.188	2354	0.893	22.195
N - 19 (1)	Summary	102.329	2456	0.893	21.768
N - 20 (1)	Summary	100.080	2512	0.887	23.356
N - 21 (1)	Summary	82.861	2149	0.927	28.840
N - 22 (1)	Summary	89.382	2879	0.897	26.341
