		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
C - 3 (1)	Summary	85.130	2997	0.898	26.707
C - 4 (1)	Summary	95.460	2538	0.891	22.238
C - 5 (1)	Summary	87.869	2863	0.897	25.563
C - 6 (1)	Summary	94.253	2881	0.891	24.588
C - 7 (1)	Summary	88.758	2842	0.899	25.793
C - 8 (1)	Summary	96.169	2656	0.895	24.299
C - 9 (1)	Summary	86.754	2819	0.894	25.556
C - 10 (1)	Summary	87.970	2867	0.895	25.809
C - 11 (1)	Summary	92.969	2816	0.887	24.144
C - 12 (1)	Summary	104.191	2559	0.889	20.278
C - 13 (1)	Summary	110.212	2466	0.877	21.496
C - 14 (1)	Summary	94.965	2981	0.876	23.654
C - 15 (1)	Summary	92.591	2741	0.893	25.743
C - 16 (1)	Summary	140.535	2772	0.884	13.629
C - 17 (1)	Summary	92.054	2794	0.901	25.492
C - 18 (1)	Summary	90.982	2152	0.940	26.283
C - 19 (1)	Summary	94.542	2786	0.901	25.546
C - 20 (1)	Summary	156.778	2510	0.888	11.773
C - 21 (1)	Summary	86.996	2917	0.897	26.005
C - 22 (1)	Summary	99.959	2648	0.896	23.176
D - 3 (1)	Summary	88.055	2862	0.899	26.307
D - 4 (1)	Summary	89.411	2828	0.896	25.452
D - 5 (1)	Summary	87.235	3005	0.894	25.674
D - 6 (1)	Summary	88.707	2806	0.897	25.598
D - 7 (1)	Summary	92.392	2957	0.894	25.226
D - 8 (1)	Summary	94.116	2831	0.895	24.858
D - 9 (1)	Summary	90.259	2818	0.896	24.690
D - 10 (1)	Summary	86.368	2746	0.901	25.426
D - 11 (1)	Summary	91.308	2765	0.897	24.962
D - 12 (1)	Summary	85.497	2798	0.895	25.579
D - 13 (1)	Summary	89.486	2723	0.901	25.561
D - 14 (1)	Summary	91.128	2675	0.893	24.393
D - 15 (1)	Summary	93.688	2776	0.894	25.755
D - 16 (1)	Summary	96.286	3030	0.892	24.771
D - 17 (1)	Summary	90.787	2944	0.897	24.529
D - 18 (1)	Summary	88.541	2778	0.892	24.914
D - 19 (1)	Summary	109.620	2999	0.867	21.131
D - 20 (1)	Summary	94.453	2824	0.888	25.981
D - 21 (1)	Summary	86.248	2762	0.895	26.001
D - 22 (1)	Summary	91.330	2870	0.896	26.229
E - 3 (1)	Summary	104.893	2619	0.888	21.424
E - 4 (1)	Summary	91.284	3023	0.890	24.766
E - 5 (1)	Summary	97.445	2555	0.892	22.828
E - 6 (1)	Summary	86.789	2951	0.886	24.150
E - 7 (1)	Summary	92.500	2924	0.896	24.311
E - 8 (1)	Summary	99.690	3121	0.886	23.212
E - 9 (1)	Summary	96.848	2598	0.902	22.499
E - 10 (1)	Summary	97.386	2759	0.891	22.670
E - 11 (1)	Summary	99.037	2810	0.895	23.392
E - 12 (1)	Summary	92.547	2768	0.897	23.620
E - 13 (1)	Summary	94.152	2939	0.898	24.401
