		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
C - 3 (1)	Summary	85.458	3024	0.887	25.632
C - 4 (1)	Summary	88.656	3056	0.878	26.585
C - 5 (1)	Summary	88.141	3099	0.889	24.684
C - 6 (1)	Summary	91.351	2828	0.885	25.459
C - 7 (1)	Summary	92.822	2723	0.881	25.158
C - 8 (1)	Summary	92.742	2507	0.884	23.903
C - 9 (1)	Summary	87.598	2893	0.886	24.409
C - 10 (1)	Summary	83.642	2914	0.889	24.689
C - 11 (1)	Summary	90.113	2836	0.892	24.524
C - 12 (1)	Summary	94.721	2825	0.881	22.439
C - 13 (1)	Summary	118.370	2702	0.859	12.626
C - 14 (1)	Summary	90.121	3108	0.889	23.897
C - 15 (1)	Summary	92.966	2656	0.890	24.373
C - 16 (1)	Summary	112.129	2700	0.878	20.645
C - 17 (1)	Summary	93.551	2744	0.884	24.144
C - 18 (1)	Summary	93.184	2826	0.889	23.690
C - 19 (1)	Summary	92.911	2885	0.898	25.641
C - 20 (1)	Summary	95.545	2765	0.891	25.090
C - 21 (1)	Summary	68.099	1773	0.934	35.509
C - 22 (1)	Summary	90.459	2983	0.886	24.554
D - 3 (1)	Summary	90.489	2919	0.892	25.147
D - 4 (1)	Summary	86.853	2779	0.890	24.817
D - 5 (1)	Summary	86.163	2891	0.886	24.762
D - 6 (1)	Summary	90.633	2747	0.887	23.994
D - 7 (1)	Summary	89.772	2915	0.888	24.110
D - 8 (1)	Summary	107.229	2451	0.894	20.233
D - 9 (1)	Summary	88.918	2857	0.888	24.029
D - 10 (1)	Summary	91.385	2912	0.887	23.616
D - 11 (1)	Summary	92.270	2997	0.893	23.705
D - 12 (1)	Summary	86.421	2965	0.884	24.204
D - 13 (1)	Summary	92.567	2773	0.892	24.308
D - 14 (1)	Summary	94.192	2893	0.892	23.807
D - 15 (1)	Summary	94.730	2898	0.888	23.994
D - 16 (1)	Summary	93.563	2969	0.890	23.806
D - 17 (1)	Summary	98.496	2677	0.887	23.546
D - 18 (1)	Summary	89.593	2924	0.881	23.721
D - 19 (1)	Summary	91.658	2676	0.890	25.037
D - 20 (1)	Summary	91.462	2624	0.893	25.141
D - 21 (1)	Summary	108.260	2139	0.888	19.587
D - 22 (1)	Summary	91.971	2978	0.891	24.372
E - 3 (1)	Summary	100.193	3018	0.878	22.406
E - 4 (1)	Summary	89.228	2861	0.890	24.493
E - 5 (1)	Summary	90.011	2887	0.884	24.548
E - 6 (1)	Summary	91.534	2869	0.893	23.836
E - 7 (1)	Summary	96.661	2447	0.898	25.343
E - 8 (1)	Summary	93.525	2499	0.901	23.030
E - 9 (1)	Summary	86.025	2844	0.892	23.918
E - 10 (1)	Summary	90.017	3045	0.882	22.423
E - 11 (1)	Summary	92.464	2887	0.891	22.716
E - 12 (1)	Summary	90.430	2913	0.893	23.162
E - 13 (1)	Summary	94.022	2880	0.878	22.609
