		noyaux	noyaux	noyaux	noyaux
E - 14 (1)	Summary	90.494	3046	0.883	22.506
E - 15 (1)	Summary	94.355	2812	0.890	23.202
E - 16 (1)	Summary	102.090	2885	0.876	21.830
E - 17 (1)	Summary	96.643	2918	0.883	22.865
E - 18 (1)	Summary	92.214	3001	0.892	23.739
E - 19 (1)	Summary	100.715	2912	0.876	17.799
E - 20 (1)	Summary	95.255	2912	0.887	23.975
E - 21 (1)	Summary	96.616	2914	0.882	23.098
E - 22 (1)	Summary	96.679	3010	0.885	24.151
F - 3 (1)	Summary	95.226	2771	0.878	25.418
F - 4 (1)	Summary	88.670	3174	0.886	24.803
F - 5 (1)	Summary	89.699	3019	0.881	23.935
F - 6 (1)	Summary	91.168	3284	0.887	23.651
F - 7 (1)	Summary	89.473	3222	0.895	23.240
F - 8 (1)	Summary	91.427	2927	0.887	22.480
F - 9 (1)	Summary	84.738	3147	0.885	22.195
F - 10 (1)	Summary	88.298	3124	0.891	22.294
F - 11 (1)	Summary	95.967	2944	0.886	20.309
F - 12 (1)	Summary	97.951	3035	0.884	18.706
F - 13 (1)	Summary	97.287	3014	0.885	21.188
F - 14 (1)	Summary	104.261	2854	0.872	18.266
F - 15 (1)	Summary	98.283	2854	0.889	21.413
F - 16 (1)	Summary	96.691	2905	0.890	21.878
F - 17 (1)	Summary	110.144	2657	0.889	18.207
F - 18 (1)	Summary	96.860	2920	0.884	21.920
F - 19 (1)	Summary	92.179	2844	0.886	23.474
F - 20 (1)	Summary	98.619	2817	0.864	21.278
F - 21 (1)	Summary	93.516	2999	0.886	23.868
F - 22 (1)	Summary	95.013	3137	0.882	23.097
G - 3 (1)	Summary	90.917	3031	0.885	25.220
G - 4 (1)	Summary	90.795	2953	0.891	25.374
G - 5 (1)	Summary	89.334	2910	0.914	25.005
G - 6 (1)	Summary	92.819	2897	0.890	23.980
G - 7 (1)	Summary	91.785	3085	0.883	23.054
G - 8 (1)	Summary	92.337	4904	0.878	20.002
G - 9 (1)	Summary	118.140	2844	0.881	12.712
G - 10 (1)	Summary	102.052	861	0.886	21.433
G - 11 (1)	Summary	92.742	2767	0.886	20.765
G - 12 (1)	Summary	87.499	2863	0.884	18.319
G - 13 (1)	Summary	90.334	2900	0.884	18.513
G - 14 (1)	Summary	92.743	2847	0.886	19.543
G - 15 (1)	Summary	94.004	2836	0.888	19.604
G - 16 (1)	Summary	95.297	3043	0.886	20.518
G - 17 (1)	Summary	89.604	2815	0.888	21.696
G - 18 (1)	Summary	91.498	2934	0.882	22.704
G - 19 (1)	Summary	95.294	2816	0.884	22.849
G - 20 (1)	Summary	91.912	2732	0.890	23.487
G - 21 (1)	Summary	109.997	3182	0.866	15.553
G - 22 (1)	Summary	90.171	2890	0.893	24.782
H - 3 (1)	Summary	88.622	3046	0.890	25.889
H - 4 (1)	Summary	89.904	3038	0.891	25.143
H - 5 (1)	Summary	90.423	2914	0.883	24.627
H - 6 (1)	Summary	90.296	2755	0.886	24.096
H - 7 (1)	Summary	95.003	3038	0.892	22.924
H - 8 (1)	Summary	96.672	3132	0.886	22.295
H - 9 (1)	Summary	88.678	2917	0.893	22.216
H - 10 (1)	Summary	91.370	2842	0.893	20.518
H - 11 (1)	Summary	94.358	2880	0.886	18.672
H - 12 (1)	Summary	94.498	2755	0.883	18.094
H - 13 (1)	Summary	96.104	2912	0.885	18.958
H - 14 (1)	Summary	88.355	2761	0.890	19.734
H - 15 (1)	Summary	95.732	2900	0.891	18.075
H - 16 (1)	Summary	138.836	3408	0.784	24.079
H - 17 (1)	Summary	96.814	2774	0.887	19.963
H - 18 (1)	Summary	97.470	2998	0.883	21.007
H - 19 (1)	Summary	100.586	2750	0.882	21.654
H - 20 (1)	Summary	93.715	2913	0.892	23.276
H - 21 (1)	Summary	113.641	2293	0.887	18.942
H - 22 (1)	Summary	93.805	3003	0.880	23.863
I - 3 (1)	Summary	91.493	2945	0.887	25.341
I - 4 (1)	Summary	88.991	3016	0.887	26.457
I - 5 (1)	Summary	96.068	2557	0.891	23.252
I - 6 (1)	Summary	86.836	2994	0.884	25.394
I - 7 (1)	Summary	83.962	3076	0.903	25.623
I - 8 (1)	Summary	86.824	3080	0.893	25.001
I - 9 (1)	Summary	82.785	2910	0.890	24.140
I - 10 (1)	Summary	85.971	2929	0.890	23.319
I - 11 (1)	Summary	88.691	2976	0.887	21.907
I - 12 (1)	Summary	96.221	2725	0.878	19.474
I - 13 (1)	Summary	88.910	2761	0.889	19.496
I - 14 (1)	Summary	86.858	2971	0.889	19.466
I - 15 (1)	Summary	87.748	2782	0.893	19.225
I - 16 (1)	Summary	85.974	2801	0.887	19.591
I - 17 (1)	Summary	80.173	2795	0.889	22.060
I - 18 (1)	Summary	89.181	2853	0.885	22.220
I - 19 (1)	Summary	85.435	2536	0.932	26.062
I - 20 (1)	Summary	89.946	2796	0.894	24.465
I - 21 (1)	Summary	81.762	2613	0.911	29.453
I - 22 (1)	Summary	92.485	2977	0.889	24.491
J - 3 (1)	Summary	91.302	3013	0.885	25.072
J - 4 (1)	Summary	88.572	2922	0.891	25.765
J - 5 (1)	Summary	86.828	2999	0.890	26.258
J - 6 (1)	Summary	83.770	3129	0.893	26.013
J - 7 (1)	Summary	83.353	2930	0.909	26.534
J - 8 (1)	Summary	78.157	3004	0.936	27.596
J - 9 (1)	Summary	79.245	2874	0.899	25.010
J - 10 (1)	Summary	84.091	2966	0.886	23.294
J - 11 (1)	Summary	84.710	2987	0.892	23.334
J - 12 (1)	Summary	82.354	2921	0.887	23.162
J - 13 (1)	Summary	91.911	2641	0.877	20.754
J - 14 (1)	Summary	96.746	2916	0.863	23.758
J - 15 (1)	Summary	88.623	2743	0.891	21.871
J - 16 (1)	Summary	86.694	2917	0.889	21.255
J - 17 (1)	Summary	87.909	2770	0.882	22.119
J - 18 (1)	Summary	86.424	2927	0.893	23.377
J - 19 (1)	Summary	121.313	2938	0.861	13.158
J - 20 (1)	Summary	91.190	2911	0.885	23.513
J - 21 (1)	Summary	90.303	2880	0.895	24.579
J - 22 (1)	Summary	93.367	2827	0.890	24.519
K - 3 (1)	Summary	95.623	2902	0.891	25.642
K - 4 (1)	Summary	87.392	2805	0.896	25.822
K - 5 (1)	Summary	87.837	2927	0.893	25.875
K - 6 (1)	Summary	91.590	3055	0.889	24.916
K - 7 (1)	Summary	90.765	2903	0.892	25.339
K - 8 (1)	Summary	91.999	2869	0.894	27.177
K - 9 (1)	Summary	81.122	2913	0.890	25.383
K - 10 (1)	Summary	89.632	2756	0.890	24.128
K - 11 (1)	Summary	124.222	2782	0.883	14.362
K - 12 (1)	Summary	89.804	3028	0.891	23.321
K - 13 (1)	Summary	93.286	2791	0.887	23.181
K - 14 (1)	Summary	90.148	2628	0.895	22.302
K - 15 (1)	Summary	87.673	2723	0.898	23.471
K - 16 (1)	Summary	90.791	2992	0.894	22.843
K - 17 (1)	Summary	88.781	2931	0.889	23.054
K - 18 (1)	Summary	86.748	2927	0.893	23.513
K - 19 (1)	Summary	104.702	2543	0.882	19.437
K - 20 (1)	Summary	89.849	2955	0.888	24.003
K - 21 (1)	Summary	88.964	2775	0.896	24.864
K - 22 (1)	Summary	88.231	2618	0.905	25.619
L - 3 (1)	Summary	87.571	2931	0.889	27.061
L - 4 (1)	Summary	85.033	3027	0.884	25.985
L - 5 (1)	Summary	88.146	2962	0.887	25.328
L - 6 (1)	Summary	87.605	2898	0.889	25.156
L - 7 (1)	Summary	88.852	2913	0.896	25.318
L - 8 (1)	Summary	89.862	3071	0.895	25.173
L - 9 (1)	Summary	85.601	2947	0.897	25.251
L - 10 (1)	Summary	85.977	3142	0.884	25.193
L - 11 (1)	Summary	98.980	2681	0.885	23.344
L - 12 (1)	Summary	87.170	2880	0.888	24.666
L - 13 (1)	Summary	93.317	2314	0.902	24.264
L - 14 (1)	Summary	92.125	2624	0.898	24.240
L - 15 (1)	Summary	99.798	2465	0.914	21.742
L - 16 (1)	Summary	88.692	2762	0.892	24.231
L - 17 (1)	Summary	118.592	2281	0.866	23.781
L - 18 (1)	Summary	93.266	2598	0.890	25.461
L - 19 (1)	Summary	99.811	2854	0.879	21.823
L - 20 (1)	Summary	88.088	3211	0.883	24.255
L - 21 (1)	Summary	86.994	2842	0.897	25.505
L - 22 (1)	Summary	88.563	3002	0.895	25.190
M - 3 (1)	Summary	86.953	3140	0.883	27.207
M - 4 (1)	Summary	85.306	2785	0.897	26.887
M - 5 (1)	Summary	91.780	2844	0.896	25.714
M - 6 (1)	Summary	88.490	2786	0.895	25.601
M - 7 (1)	Summary	87.659	2963	0.893	25.616
M - 8 (1)	Summary	92.741	3044	0.890	24.699
M - 9 (1)	Summary	81.930	2793	0.887	25.252
M - 10 (1)	Summary	87.034	2742	0.898	25.460
M - 11 (1)	Summary	90.897	2488	0.910	25.533
M - 12 (1)	Summary	88.178	2730	0.894	24.701
M - 13 (1)	Summary	90.583	2731	0.897	24.861
M - 14 (1)	Summary	88.688	2604	0.901	25.356
M - 15 (1)	Summary	95.744	2709	0.898	24.380
M - 16 (1)	Summary	90.265	2953	0.887	24.421
M - 17 (1)	Summary	91.727	2716	0.896	24.717
M - 18 (1)	Summary	93.492	2602	0.883	22.619
M - 19 (1)	Summary	94.880	2709	0.885	22.894
M - 20 (1)	Summary	90.395	2742	0.888	24.991
M - 21 (1)	Summary	90.132	2814	0.894	23.846
M - 22 (1)	Summary	89.843	2838	0.886	24.662
N - 3 (1)	Summary	89.093	2783	0.892	26.733
N - 4 (1)	Summary	85.530	2756	0.895	26.589
N - 5 (1)	Summary	88.474	3099	0.878	25.149
N - 6 (1)	Summary	89.485	2984	0.892	26.512
N - 7 (1)	Summary	92.349	2994	0.889	25.627
N - 8 (1)	Summary	96.267	2960	0.892	24.537
N - 9 (1)	Summary	88.474	2783	0.899	26.108
N - 10 (1)	Summary	90.224	2715	0.902	26.097
N - 11 (1)	Summary	96.627	2846	0.885	24.618
N - 12 (1)	Summary	88.098	2837	0.894	25.765
N - 13 (1)	Summary	89.251	2896	0.890	25.892
N - 14 (1)	Summary	88.627	2858	0.896	25.424
N - 15 (1)	Summary	92.115	2935	0.899	25.220
N - 16 (1)	Summary	96.303	2929	0.894	24.930
N - 17 (1)	Summary	100.985	2277	0.872	22.093
N - 18 (1)	Summary	91.498	2785	0.898	25.115
N - 19 (1)	Summary	85.038	2826	0.897	26.436
N - 20 (1)	Summary	88.441	2908	0.885	25.121
N - 21 (1)	Summary	97.219	2576	0.885	23.730
N - 22 (1)	Summary	91.381	2812	0.890	25.125
